Date,Open,High,Low,Close,Change %,Avg. Volume
"Sep. 06, 2022","2,842.89","2,897.32","2,737.40","2,884.99",1.56%,"8,657,288"
"Aug. 29, 2022","2,996.16","3,011.18","2,737.80","2,840.67",-6.22%,"12,214,766"
"Aug. 22, 2022","2,805.78","3,084.16","2,805.78","3,029.23",7.16%,"11,060,269"
"Aug. 15, 2022","2,797.99","2,887.15","2,784.88","2,826.90",-1.10%,"7,653,906"
"Aug. 08, 2022","2,721.17","2,858.47","2,719.23","2,858.47",5.71%,"9,024,593"
"Aug. 01, 2022","2,677.28","2,725.18","2,600.03","2,704.13",0.47%,"12,170,241"
"Jul. 25, 2022","2,503.36","2,700.40","2,496.30","2,691.49",8.31%,"9,606,039"
"Jul. 18, 2022","2,410.78","2,528.53","2,389.19","2,484.93",3.66%,"9,296,197"
"Jul. 11, 2022","2,406.43","2,453.78","2,303.18","2,397.16",-1.64%,"11,485,963"
"Jul. 05, 2022","2,441.49","2,471.31","2,311.07","2,437.25",-2.05%,"14,818,405"
"Jun. 27, 2022","2,482.23","2,610.64","2,421.65","2,488.30",0.96%,"13,606,050"
"Jun. 21, 2022","2,504.85","2,608.40","2,358.69","2,464.57",-1.61%,"21,956,990"
"Jun. 13, 2022","2,636.80","2,678.07","2,474.26","2,504.85",-6.06%,"21,741,430"
"Jun. 06, 2022","2,908.40","2,914.37","2,664.52","2,666.42",-7.86%,"16,693,127"
31-May-22,"2,957.95","3,009.11","2,857.27","2,893.89",-1.23%,"18,825,852"
23-May-22,"2,817.23","2,960.01","2,817.23","2,929.96",4.19%,"18,211,263"
16-May-22,"2,845.27","2,951.70","2,742.13","2,812.15",-0.27%,"17,887,093"
09-May-22,"2,786.73","2,858.40","2,591.94","2,819.66",-0.26%,"16,346,420"
02-May-22,"2,881.76","2,988.03","2,762.48","2,827.08",-1.84%,"18,844,655"
"Apr. 25, 2022","2,907.37","2,978.11","2,770.21","2,880.08",-1.57%,"18,190,414"
"Apr. 18, 2022","3,179.63","3,240.73","2,907.00","2,926.08",-7.82%,"17,364,793"
